SubID	movies	moviesC	Baseline	BaselineC	Alcohol	AlcoholC	Predict	PredictC	Startle
1081	1	0.5	123.6776667	21.05278113	2	-0.5	2	0.5	60.43866667
1111	2	-0.5	177.8933333	75.26844779	2	-0.5	1	-0.5	106.7436667
1111	2	-0.5	177.8933333	75.26844779	2	-0.5	2	0.5	65.61516667
1112	2	-0.5	53.13316667	-49.49171887	2	-0.5	1	-0.5	5.290333333
1112	2	-0.5	53.13316667	-49.49171887	2	-0.5	2	0.5	7.790166667
1121	2	-0.5	28.71383333	-73.91105221	2	-0.5	1	-0.5	1.8785
1121	2	-0.5	28.71383333	-73.91105221	2	-0.5	2	0.5	7.443
1122	2	-0.5	28.0535	-74.57138554	2	-0.5	1	-0.5	22.44383333
1122	2	-0.5	28.0535	-74.57138554	2	-0.5	2	0.5	1.161633333
1131	2	-0.5	91.25183333	-11.37305221	2	-0.5	1	-0.5	6.0995
1131	2	-0.5	91.25183333	-11.37305221	2	-0.5	2	0.5	-24.3
1132	2	-0.5	126.6948333	24.06994779	2	-0.5	1	-0.5	80.79933333
1132	2	-0.5	126.6948333	24.06994779	2	-0.5	2	0.5	91.0305
1142	2	-0.5	114.6976667	12.07278113	2	-0.5	1	-0.5	10.16666667
1142	2	-0.5	114.6976667	12.07278113	2	-0.5	2	0.5	-7.400333333
1151	2	-0.5	105.3993333	2.774447794	2	-0.5	1	-0.5	-11.92
1151	2	-0.5	105.3993333	2.774447794	2	-0.5	2	0.5	16.7615
1161	2	-0.5	222.3166667	119.6917811	2	-0.5	1	-0.5	19.91066667
1161	2	-0.5	222.3166667	119.6917811	2	-0.5	2	0.5	5.807833333
1171	2	-0.5	22.977	-79.64788554	2	-0.5	1	-0.5	18.358855
1171	2	-0.5	22.977	-79.64788554	2	-0.5	2	0.5	18.71793333
1181	2	-0.5	21.43813333	-81.18675221	2	-0.5	1	-0.5	-11.55188333
1181	2	-0.5	21.43813333	-81.18675221	2	-0.5	2	0.5	-11.75287687
2011	1	0.5	190.095	87.47011446	1	0.5	1	-0.5	121.689
2011	1	0.5	190.095	87.47011446	1	0.5	2	0.5	72.74616667
2013	1	0.5	99.45433333	-3.170552206	1	0.5	1	-0.5	15.74843333
2013	1	0.5	99.45433333	-3.170552206	1	0.5	2	0.5	4.438333333
2021	1	0.5	233.8516667	131.2267811	1	0.5	1	-0.5	39.4151
2021	1	0.5	233.8516667	131.2267811	1	0.5	2	0.5	8.588988333
2022	1	0.5	78.49933333	-24.12555221	1	0.5	1	-0.5	34.2045
2022	1	0.5	78.49933333	-24.12555221	1	0.5	2	0.5	12.37465
2032	1	0.5	45.6475	-56.97738554	1	0.5	1	-0.5	46.29515
2032	1	0.5	45.6475	-56.97738554	1	0.5	2	0.5	14.36228333
2041	1	0.5	102.175	-0.449885539	1	0.5	1	-0.5	33.68921667
2041	1	0.5	102.175	-0.449885539	1	0.5	2	0.5	1.903883333
2042	1	0.5	45.40333333	-57.22155221	1	0.5	1	-0.5	33.83579333
2042	1	0.5	45.40333333	-57.22155221	1	0.5	2	0.5	27.14146667
2051	1	0.5	241.7766667	139.1517811	1	0.5	1	-0.5	21.4055
2051	1	0.5	241.7766667	139.1517811	1	0.5	2	0.5	7.753833333
2061	1	0.5	36.05616667	-66.56871887	1	0.5	1	-0.5	6.4046
2061	1	0.5	36.05616667	-66.56871887	1	0.5	2	0.5	16.33691667
2081	1	0.5	86.14016667	-16.48471887	1	0.5	1	-0.5	64.4087
2081	1	0.5	86.14016667	-16.48471887	1	0.5	2	0.5	30.07381667
2111	2	-0.5	96.59366667	-6.031218873	1	0.5	1	-0.5	7.446
2111	2	-0.5	96.59366667	-6.031218873	1	0.5	2	0.5	1.8564
2112	2	-0.5	88.29466667	-14.33021887	1	0.5	1	-0.5	42.57766667
2112	2	-0.5	88.29466667	-14.33021887	1	0.5	2	0.5	31.62911667
2121	2	-0.5	107.66	5.035114461	1	0.5	1	-0.5	48.23568333
2121	2	-0.5	107.66	5.035114461	1	0.5	2	0.5	12.90535
2122	2	-0.5	32.43166667	-70.19321887	1	0.5	1	-0.5	80.7126
2122	2	-0.5	32.43166667	-70.19321887	1	0.5	2	0.5	42.84374
2131	2	-0.5	128.5201667	25.89528113	1	0.5	1	-0.5	34.59601667
2131	2	-0.5	128.5201667	25.89528113	1	0.5	2	0.5	18.22068333
2132	2	-0.5	295.505	192.8801145	1	0.5	1	-0.5	9.393333333
2132	2	-0.5	295.505	192.8801145	1	0.5	2	0.5	39.1495
2141	2	-0.5	33.94633333	-68.67855221	1	0.5	1	-0.5	4.260983333
2141	2	-0.5	33.94633333	-68.67855221	1	0.5	2	0.5	2.068133333
2142	2	-0.5	159.66	57.03511446	1	0.5	1	-0.5	37.66083333
2142	2	-0.5	159.66	57.03511446	1	0.5	2	0.5	7.351833333
2151	2	-0.5	57.42166667	-45.20321887	1	0.5	1	-0.5	43.68883333
2151	2	-0.5	57.42166667	-45.20321887	1	0.5	2	0.5	15.86683333
2161	2	-0.5	178.8333333	76.20844779	1	0.5	1	-0.5	4.157166667
2161	2	-0.5	178.8333333	76.20844779	1	0.5	2	0.5	19.26933333
2171	2	-0.5	26.71916667	-75.90571887	1	0.5	1	-0.5	27.511664
2171	2	-0.5	26.71916667	-75.90571887	1	0.5	2	0.5	21.64526667
2181	2	-0.5	34.045	-68.57988554	1	0.5	1	-0.5	13.09433333
2181	2	-0.5	34.045	-68.57988554	1	0.5	2	0.5	8.047666667
