rang kommune nviolent ratio diff
170 Vissenbjerg 1 3.9 3.9
171 Sydals 1 3.8 3.8
172 Varde 3 3.8 -4.0
173 Ringkøbing_Amt 43 3.8 0.2
174 Silkeborg 8 3.8 0.0
175 Ørbæk 1 3.7 -8.6
176 Viborg_Amt 35 3.6 1.2
177 Augustenborg 1 3.6 3.6
178 Gundsø 2 3.6 1.4
179 Hvorslev 1 3.6 -1.0
180 Holmegaard 1 3.6 -7.1
181 Hjørring 5 3.5 2.7
182 Sallingsund 1 3.5 3.5
183 Karup 1 3.4 3.4
184 Bjergsted 1 3.4 -4.2
185 Rønnede 1 3.3 -7.5
186 Blåbjerg 1 3.3 -0.3
187 Stubbekøbing 1 3.3 3.3
188 Præstø 1 3.3 0.4
189 Rødovre 4 3.2 1.5
190 Lejre 1 3.2 3.2
191 Hobro 2 3.2 1.3
192 Løgumkloster 1 3.2 -3.5
193 Aalestrup 1 3.1 -0.1
194 Hørning 1 3.1 3.1
195 Morsø 3 3.1 1.9
196 Ryslinge 1 3.0 3.0
197 Gentofte 7 3.0 1.0
198 Gjern 1 3.0 3.0
199 Tommerup 1 2.9 -3.3
200 Suså 1 2.9 -0.2
201 Sakskøbing 1 2.8 -0.2
202 Purhus 1 2.8 -0.3
203 Solrød 2 2.7 1.3
204 Helle 1 2.7 -5.4
205 Gladsaxe 6 2.6 -5.4
206 Spøttrup 1 2.6 -0.1
207 Brande 1 2.6 -0.4
208 Billund 1 2.6 2.6
209 Hammel 1 2.5 -5.7
210 Værløse 2 2.5 -5.5
211 Slagelse 3 2.5 1.6
212 Arden 1 2.4 2.4
213 Rosenholm 1 2.4 2.4
214 Sindal 1 2.3 -8.3
215 Nørre_Rangstrup 1 2.3 -4.6
216 Nykøbing-Falster 2 2.3 1.1
217 Vallensbæk 1 2.3 -0.4
218 Galten 1 2.3 -2.6
219 Sydthy 1 2.2 0.1
220 Rødding 1 2.2 -0.1
221 Ledøje-Smørum 1 2.1 -0.5
222 Hadsund 1 2.1 -0.2
223 Aars 1 1.8 -2.0
224 Kjellerup 1 1.7 1.7
225 Thisted 2 1.5 -3.4
226 Nyborg 1 1.5 -6.9
227 Glostrup 1 1.5 -2.1
228 Lemvig 1 1.3 -0.1
229 Allerød 1 1.0 -1.3
