"family.id" "animal.id" "vessel" "date" "length" "weight" "sex" "month"
2003004 2281 36 16055 26.70 0.2858 "m"  9
2003004 2281 36 16106 34.25 0.6719 "m" 11
2003004 2282  7 15942 14.00 0.0396 "m"  5
2003004 2282  7 15971 17.90 0.0863 "m"  6
2003004 2282  7 16008 21.50 0.1551 "m"  7
2003004 2282  7 16034 24.00 0.2085 "m"  8
2003004 2282  7 16055 26.00 0.2852 "m"  9
2003004 2282  7 16105 31.75 0.6161 "m" 11
2003004 2283  7 15942 15.50 0.0478 "m"  5
2003004 2283  7 15971 20.00 0.1097 "m"  6
2003004 2283  7 16008 24.40 0.2008 "m"  7
2003004 2283  7 16034 27.70 0.3002 "m"  8
2003004 2283  7 16055 31.00 0.4348 "m"  9
2003004 2283  7 16105 39.40 1.0207 "m" 11
2003004 2284 36 15942 15.40 0.0535 "f"  5
2003004 2284 36 15970 20.10 0.1268 "f"  6
2003004 2284 36 16009 25.00 0.2366 "f"  7
2003004 2284 36 16034 28.00 0.3319 "f"  8
2003004 2284 36 16055 30.60 0.4563 "f"  9
2003004 2284 36 16106 37.00 0.9277 "f" 11
2003004 2286 36 15942 15.20 0.0446 "m"  5
2003004 2286 36 15970 20.10 0.1119 "m"  6
2003004 2286 36 16009 25.00 0.2067 "m"  7
2003004 2286 36 16034 27.90 0.2925 "m"  8
2003004 2286 36 16055 30.50 0.4022 "m"  9
2003004 2286 36 16106 38.95 0.8904 "m" 11
2003004 2288  7 15942 13.90 0.0375 "m"  5
2003004 2288  7 15971 18.60 0.0950 "m"  6
2003004 2288  7 16008 22.60 0.1709 "m"  7
2003004 2288  7 16034 26.00 0.2587 "m"  8
2003004 2288  7 16055 28.90 0.3729 "m"  9
2003004 2288  7 16105 36.00 0.7968 "m" 11
2003004 2290 36 15942 14.80 0.0442 "m"  5
2003004 2290 36 15970 19.00 0.0985 "m"  6
2003004 2290 36 16009 23.60 0.1848 "m"  7
2003004 2290 36 16034 26.60 0.2705 "m"  8
2003004 2290 36 16055 29.40 0.3889 "m"  9
2003004 2290 36 16106 37.25 0.8739 "m" 11
2003004 2291 16 15942 17.20 0.0733 "f"  5
2003004 2291 16 15971 21.70 0.1447 "f"  6
2003004 2291 16 16007 24.80 0.3395 "f"  7
2003004 2291 16 16033 27.60 0.3147 "f"  8
2003004 2291 16 16054 28.90 0.3689 "f"  9
2003004 2291 16 16111 34.10 0.6545 "f" 11
2003004 2292 36 15942 14.60 0.0436 "m"  5
2003004 2292 36 15970 18.50 0.0950 "m"  6
2003004 2292 36 16008 22.40 0.1612 "m"  7
2003004 2292 36 16034 25.20 0.2312 "m"  8
2003004 2292 36 16055 28.00 0.3440 "m"  9
2003004 2292 36 16106 36.25 0.8075 "m" 11
2003004 2293  7 15942 15.30 0.0457 "m"  5
2003004 2293  7 15971 19.60 0.1064 "m"  6
2003004 2293  7 16008 24.10 0.1781 "m"  7
2003004 2293  7 16034 26.70 0.2592 "m"  8
2003004 2293  7 16055 29.30 0.3624 "m"  9
2003004 2293  7 16105 37.50 0.8677 "m" 11
2003004 2294 36 15942 14.30 0.0365 "m"  5
2003004 2294 36 15970 19.00 0.1005 "m"  6
2003004 2294 36 16008 23.90 0.1800 "m"  7
2003004 2294 36 16034 27.20 0.2674 "m"  8
2003004 2294 36 16055 30.00 0.3744 "m"  9
2003004 2294 36 16106 37.95 0.8649 "m" 11
2003004 2295  7 15942 15.40 0.0480 "m"  5
2003004 2295  7 15971 20.20 0.1104 "m"  6
2003004 2295  7 16008 24.40 0.1988 "m"  7
2003004 2295  7 16034 27.50 0.2856 "m"  8
2003004 2295  7 16055 29.80 0.3703 "m"  9
2003004 2295  7 16105 37.10 0.8464 "m" 11
2003004 2296  7 15942 15.20 0.0460 "f"  5
2003004 2296  7 15971 20.40 0.1156 "f"  6
2003004 2296  7 16008 25.20 0.2169 "f"  7
2003004 2296  7 16034 28.40 0.3126 "f"  8
2003004 2296  7 16055 31.10 0.4318 "f"  9
2003004 2296  7 16105 37.25 0.8582 "f" 11
2003004 2297 16 15942 15.40 0.0472 "f"  5
2003004 2297 16 15971 19.70 0.1069 "f"  6
2003004 2297 16 16007 23.80 0.1894 "f"  7
2003004 2297 16 16033 26.30 0.2643 "f"  8
2003004 2297 16 16054 28.90 0.3557 "f"  9
2003004 2297 16 16110 36.00 0.7206 "f" 11
2003004 2298 36 15942 15.10 0.0478 "m"  5
2003004 2298 36 15970 19.40 0.0873 "m"  6
2003004 2298 36 16009 24.30 0.1966 "m"  7
2003004 2298 36 16034 26.80 0.2754 "m"  8
2003004 2298 36 16055 29.50 0.4049 "m"  9
2003004 2298 36 16106 38.70 0.9628 "m" 11
2003004 2299  7 15942 13.80 0.0347 "m"  5
2003004 2299  7 15971 18.50 0.0910 "m"  6
2003004 2299  7 16008 22.80 0.1654 "m"  7
2003004 2299  7 16034 25.30 0.2390 "m"  8
2003004 2299  7 16055 27.40 0.3104 "m"  9
2003004 2299  7 16105 33.90 0.6781 "m" 11
2003004 2300 16 15942 14.40 0.0391 "f"  5
2003004 2300 16 15971 18.40 0.0871 "f"  6
2003004 2300 16 16007 22.00 0.1526 "f"  7
2003004 2300 16 16033 25.20 0.2382 "f"  8
2003004 2300 16 16054 27.80 0.3254 "f"  9
2003004 2300 16 16111 35.00 0.6702 "f" 11
2003004 2302 36 15942 16.10 0.0571 "f"  5
2003004 2302 36 15970 20.80 0.1415 "f"  6
2003004 2302 36 16009 25.20 0.2289 "f"  7
2003004 2302 36 16034 27.80 0.3082 "f"  8
2003004 2302 36 16055 30.20 0.4002 "f"  9
2003004 2302 36 16106 37.05 0.8389 "f" 11
2003004 2307 16 15942 16.10 0.0570 "m"  5
2003004 2307 16 15971 20.50 0.1276 "m"  6
2003004 2307 16 16007 24.20 0.2093 "m"  7
2003004 2307 16 16033 27.60 0.3067 "m"  8
2003004 2307 16 16054 30.40 0.4287 "m"  9
2003004 2307 16 16111 39.00 0.9615 "m" 11
2003004 2308  7 15942 16.20 0.0568 "m"  5
2003004 2308  7 15971 20.90 0.1365 "m"  6
2003004 2308  7 16008 24.80 0.2242 "m"  7
2003004 2308  7 16034 27.50 0.3034 "m"  8
2003004 2308  7 16055 29.90 0.4089 "m"  9
2003004 2308  7 16105 37.25 0.9099 "m" 11
2003004 2310 36 15942 16.10 0.0614 "f"  5
2003004 2310 36 15970 20.90 0.1455 "f"  6
2003004 2310 36 16009 25.50 0.2486 "f"  7
