"cow_no" "milk_date" "dfc" "yield"
100 2004-07-19 83 10346
100 2004-07-20 84 9998
100 2004-07-20 84 14586
100 2004-07-20 84 14740
100 2004-07-21 85 12296
100 2004-07-21 85 14351
100 2004-07-21 85 15606
100 2004-07-22 86 17993
100 2004-07-22 86 12735
100 2004-07-22 86 9469
100 2004-07-23 87 13964
100 2004-07-23 87 12007
100 2004-07-23 87 8860
100 2004-07-24 88 12678
100 2004-07-24 88 15849
100 2004-07-25 89 12336
100 2004-07-25 89 13035
100 2004-07-25 89 12466
100 2004-07-26 90 11300
100 2004-07-26 90 10102
100 2004-07-26 90 13083
100 2004-07-27 91 11440
100 2004-07-27 91 9803
100 2004-07-27 91 11734
100 2004-07-28 92 12030
100 2004-07-28 92 12374
100 2004-07-28 92 12033
100 2004-07-29 93 11013
100 2004-07-29 93 14836
100 2004-07-29 93 9811
100 2004-07-30 94 9799
100 2004-07-30 94 11792
100 2004-07-30 94 10562
100 2004-07-30 94 11789
100 2004-07-31 95 12763
100 2004-07-31 95 11366
100 2004-07-31 95 9651
100 2004-08-01 96 13079
100 2004-08-01 96 11512
100 2004-08-01 96 13620
100 2004-08-02 97 13274
100 2004-08-02 97 11838
100 2004-08-02 97 11855
100 2004-08-03 98 12470
100 2004-08-03 98 12373
100 2004-08-04 99 11182
100 2004-08-04 99 13387
100 2004-08-04 99 10638
100 2004-08-05 100 11494
100 2004-08-05 100 14630
100 2004-08-05 100 13116
100 2004-08-06 101 14382
100 2004-08-06 101 9406
100 2004-08-06 101 10057
100 2004-08-07 102 10889
100 2004-08-07 102 9478
100 2004-08-07 102 10491
100 2004-08-08 103 10878
100 2004-08-08 103 11089
100 2004-08-08 103 10941
100 2004-08-09 104 10365
100 2004-08-09 104 8890
100 2004-08-09 104 9247
100 2004-08-09 104 9958
100 2004-08-10 105 13156
100 2004-08-10 105 12767
100 2004-08-10 105 9470
100 2004-08-11 106 9510
100 2004-08-12 107 10924
100 2004-08-12 107 13461
100 2004-08-13 108 8378
100 2004-08-13 108 10734
100 2004-08-13 108 10233
100 2004-08-14 109 8911
100 2004-08-14 109 10341
100 2004-08-14 109 12059
100 2004-08-15 110 9354
100 2004-08-15 110 7825
100 2004-08-15 110 8146
100 2004-08-15 110 8962
100 2004-08-16 111 8297
100 2004-08-16 111 11246
100 2004-08-16 111 9969
100 2004-08-17 112 9726
100 2004-08-17 112 10087
100 2004-08-17 112 10814
100 2004-08-17 112 8188
100 2004-08-18 113 9664
100 2004-08-18 113 8974
100 2004-08-18 113 9892
100 2004-08-18 113 8049
100 2004-08-19 114 11451
100 2004-08-19 114 10252
100 2004-08-19 114 8408
100 2004-08-20 115 12620
100 2004-08-20 115 12903
100 2004-08-21 116 10423
100 2004-08-21 116 12392
100 2004-08-21 116 8731
100 2004-08-22 117 11992
100 2004-08-22 117 10814
100 2004-08-22 117 12790
100 2004-08-23 118 10899
100 2004-08-23 118 10438
100 2004-08-23 118 7867
100 2004-08-24 119 12889
100 2004-08-24 119 9236
100 2004-08-24 119 10377
100 2004-08-25 120 9251
100 2004-08-25 120 11918
100 2004-08-25 120 7147
100 2004-08-26 121 12928
100 2004-08-26 121 11065
100 2004-08-26 121 11259
100 2004-08-27 122 11264
100 2004-08-27 122 9971
100 2004-08-27 122 10434
100 2004-08-27 122 9953
100 2004-08-28 123 8338
100 2004-08-28 123 10241
100 2004-08-28 123 11933
100 2004-08-29 124 10644
100 2004-08-29 124 11035
100 2004-08-29 124 12428
100 2004-08-30 125 9166
100 2004-08-30 125 12102
100 2004-08-30 125 10516
100 2004-08-31 126 9084
100 2004-08-31 126 11621
100 2004-08-31 126 12725
100 2004-09-01 127 7661
100 2004-09-01 127 9618
100 2004-09-01 127 10097
100 2004-09-02 128 8489
100 2004-09-02 128 10268
100 2004-09-02 128 11409
100 2004-09-02 128 8800
100 2004-09-03 129 14169
100 2004-09-03 129 11571
100 2004-09-04 130 9586
100 2004-09-04 130 10614
100 2004-09-04 130 10878
100 2004-09-05 131 9198
100 2004-09-05 131 8010
100 2004-09-05 131 15941
100 2004-09-06 132 9597
100 2004-09-06 132 11451
100 2004-09-06 132 11868
100 2004-09-07 133 7231
100 2004-09-07 133 13972
